word,sentiment_five,sentiment_binary
loved,5,3
exciting,5,3
phenomenal,5,3
fantastic,5,3
gigantic,5,3
heavenly,5,3
epic,5,3
heaven,5,3
flawless,5,3
thrilled,5,3
remarkable,5,3
outstanding,5,3
perfectly,5,3
spectacular,5,3
favorite,5,3
amazingly,5,3
stellar,5,3
perfection,5,3
vip,5,3
incredible,5,3
bravo,5,3
vibrant,5,3
adore,5,3
incredibly,5,3
enjoyed,5,3
brilliant,5,3
superior,5,3
fabulous,5,3
beautiful,5,3
impeccable,5,3
exceptional,5,3
hooked,5,3
perfect,5,3
efficient,5,3
successful,5,3
wonderfully,5,3
nicest,5,3
alright,3,2
elite,5,3
luxurious,5,3
luxury,5,3
inspired,5,3
pro,5,3
wonderful,5,3
genius,5,3
deliciously,5,3
superb,5,3
delectable,5,3
enjoying,5,3
gorgeous,5,3
wowed,5,3
beautifully,5,3
great,5,3
win,5,3
passionate,4,3
enjoy,4,3
strong,4,3
recommended,4,3
happily,4,3
smart,4,3
favourite,4,3
positives,4,3
holy,4,3
proper,4,3
relaxed,4,3
challenging,4,3
energy,4,3
loving,4,3
golden,4,3
paradise,4,3
refreshing,4,3
approved,4,3
genuine,4,3
beauty,4,3
popular,4,3
loves,4,3
gold,4,3
pleasant,4,3
enthusiastic,4,3
respectful,4,3
consistently,4,3
happier,4,3
freshest,4,3
coolest,4,3
hopes,4,3
tasteful,4,3
impressive,4,3
thankful,4,3
yummy,4,3
elegant,4,3
dedicated,4,3
favorites,4,3
satisfied,4,3
romantic,4,3
flavorful,4,3
impressed,4,3
winning,4,3
good,4,3
magical,4,3
satisfy,4,3
special,4,3
raved,4,3
healthier,4,3
benefits,4,3
surprising,4,3
confidence,4,3
wicked,4,3
stylish,4,3
miracle,4,3
winner,4,3
gracious,4,3
plenty,4,3
lovely,4,3
appetizing,4,3
neat,4,3
talented,4,3
traditional,4,3
deliciousness,4,3
talent,4,3
proud,4,3
exquisite,4,3
adorable,4,3
welcoming,4,3
tasty,4,3
sexy,4,3
exceptionally,4,3
royal,4,3
pleasure,4,3
nicer,4,3
fortunate,4,3
angel,4,3
relaxing,4,3
expertise,4,3
opportunity,4,3
understanding,4,3
efficiently,4,3
buttery,4,3
appealing,4,3
professionalism,4,3
inexpensive,4,3
polite,4,3
fans,4,3
smooth,4,3
creative,4,3
hope,4,3
haha,4,3
eclectic,4,3
yum,4,3
delightful,4,3
hearty,4,3
knowledgable,4,3
charm,4,3
cheerful,4,3
reliable,4,3
warm,4,3
grateful,4,3
hilarious,4,3
plentiful,4,3
fan,4,3
positive,4,3
fancy,4,3
lively,4,3
focused,4,3
trained,4,3
peaceful,4,3
fresher,4,3
unbelievable,4,3
effective,4,3
experienced,4,3
preferred,4,3
pros,4,3
massive,4,3
balanced,4,3
iconic,4,3
grand,4,3
hoping,4,3
likes,4,3
succesful,4,3
enjoys,4,3
convenient,4,3
smoothly,4,3
satisfying,4,3
returning,4,3
passion,4,3
caring,4,3
painless,4,3
stocked,4,3
specialty,4,3
appeal,4,3
spotless,4,3
cozy,4,3
safe,4,3
kudos,4,3
relief,4,3
exotic,4,3
liking,4,3
joy,4,3
excited,4,3
correctly,4,3
flavored,4,3
properly,4,3
easy,4,3
helping,4,3
gentleman,4,3
specials,4,3
wise,4,3
memorable,4,3
organized,4,3
care,4,3
recommendation,4,3
cared,4,3
extreme,4,3
welcomed,4,3
guarantee,4,3
entertaining,4,3
satisfaction,4,3
complimentary,4,3
complete,4,3
laughing,4,3
polished,4,3
sunny,4,3
delivered,4,3
accommodate,4,3
improvement,4,3
standard,4,3
upbeat,4,3
exceeded,4,3
affordable,4,3
delicate,4,3
completely,4,3
naturally,4,3
won,4,3
comfortably,4,3
fun,4,3
definite,4,3
nicely,4,3
occasion,4,3
modern,4,3
divine,4,3
easily,4,3
reminiscent,4,3
award,4,3
kindly,4,3
expert,4,3
consistent,4,3
god,4,3
cool,4,3
wow,4,3
pleased,4,3
authentic,4,3
grooming,4,3
thankfully,4,3
aromatic,4,3
gourmet,4,3
humor,4,3
energetic,4,3
spacious,4,3
cares,4,3
personally,4,3
courteous,4,3
rave,4,3
success,4,3
pleasing,4,3
entertainment,4,3
smiles,4,3
attractive,4,3
friendliest,4,3
enjoyable,4,3
honesty,4,3
benefit,4,3
thoughtful,4,3
hoped,4,3
classic,4,3
prompt,4,3
